Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
52499	0.10003690611252014	-0.0015527787481089057	0.010845982623512074	0.02058330289698009	0.0212267990420048	-0.010906158259200664	0.0433412753902375	0.1480469488618987	1.8332451945781691	0.022811952552944475	30.2	4.09365741732033	1000.0	27499.0	52499.0
54999	0.10052920236519507	-0.001006974975508637	0.010539746962547046	0.02035984335306408	0.020539844130857823	-0.011519908455850813	0.03461358962804073	0.14326492852248116	1.8667651138305652	0.018224164135009067	23.0	8.3491693652778	1000.0	27499.0	54999.0
57499	0.0995126995206834	-0.0004599038707538742	0.010243483763209408	0.02239715887257708	0.024810823140222083	-0.01085321725884127	0.027655002836883047	0.1385478656748417	1.8894564000606537	0.01455191015936435	20.0	7.052378999828058	1000.0	27499.0	57499.0
59999	0.10033130976540393	-0.0002387197376850543	0.010125089059656372	0.019782794754866277	0.022411897769271567	-0.01044499153833633	0.022067814618349092	0.13893992748359194	1.9110571027755738	0.011617209207266582	34.4	4.8674993244814075	1000.0	27499.0	59999.0
62499	0.09976843265822082	-1.8441892693772387e-05	0.010009654333650144	0.02251479108253431	0.025778357966879484	-0.011681243104490384	0.01761758582331241	0.13429434890856243	1.9198955421447732	0.009272001076489686	16.3	5.438722011103749	1000.0	27499.0	62499.0
64999	0.10061199088346612	-0.00015465126583499132	0.010080445457037433	0.023480894163949023	0.026157268670461333	-0.012098335648640851	0.014052636716887352	0.13728008474332873	1.9262062812328278	0.007398957870900642	14.4	4.628811486462177	1000.0	27499.0	64999.0
67499	0.09956890134069299	8.485256075946381e-05	0.009955972790179788	0.024461965760070786	0.03077507966500751	-0.01193173508063657	0.011218066253885623	0.1304587763671144	1.9237767572879776	0.005903154930286105	45.4	6.711102341972473	1000.0	27499.0	67499.0
69999	0.09945133378407368	4.39247781443895e-05	0.009977174383846224	0.02390078133725766	0.0292670942168995	-0.012505800730068644	0.008949474427476529	0.13068414897104785	1.9224750919818934	0.004709321741387242	32.5	4.29842490832039	1000.0	27499.0	69999.0
72499	0.09960360464874639	-1.6214497003966314e-05	0.01000847746973939	0.024859531961406733	0.03127209587786401	-0.011719049383332618	0.007138399182632568	0.1291536757650627	1.9214717876911154	0.003756529747880999	40.2	6.210559360199677	1000.0	27499.0	72499.0
74999	0.10124931328549953	-0.0003037512855874866	0.010157343941338338	0.02579976888600328	0.030934774391034873	-0.012659114174821342	0.0056892408533021875	0.12791601694666965	1.928314812040329	0.002996343056298788	15.7	4.195055278979168	1000.0	27499.0	74999.0
77499	0.10061458064412257	3.269099734266094e-05	0.00998318553351571	0.024634506209061803	0.030268269518234515	-0.012428948120015191	0.004538978441432121	0.12757973566787517	1.9411275571346271	0.0023899383536539922	39.0	6.300907619273485	1000.0	27499.0	77499.0
79999	0.09952808580788991	0.0001766739978472287	0.00990865421575179	0.026682622726835227	0.03524820667881265	-0.013000424391454801	0.003621954572666437	0.12379781155758152	1.9331305420398692	0.0019059807700570652	22.7	5.039588857721796	1000.0	27499.0	79999.0
82499	0.09919701406399128	0.00013557247462199495	0.00992953454742117	0.027629866115172284	0.03680002800813815	-0.014150850087681379	0.0028889454446732955	0.121116750180945	1.9250403156757385	0.0015200056166388093	29.9	2.835487770476144	1000.0	27499.0	82499.0
84999	0.09979018514892854	-0.00012331122216587578	0.010064179457275947	0.02880717340613691	0.038148982243552974	-0.01281589866477169	0.0023032186262309496	0.12076211717828624	1.91904278063774	0.0012121612930204736	28.1	6.190617523886221	1000.0	27499.0	84999.0
87499	0.10137903681357309	-0.00021209099934658323	0.010109718416612649	0.027004147306065256	0.03229914736901503	-0.013257882810546783	0.0018353381027933226	0.12244277311126173	1.9368387573242216	0.0009667314235353813	38.0	6.485191831777911	1000.0	27499.0	87499.0
89999	0.10025182569948062	0.00010593065288212523	0.009945351786992334	0.02823775721932102	0.036795788946231194	-0.014462883097382301	0.0014643512587528677	0.12025282255028072	1.9393377162456493	0.0007709030765574429	12.8	2.0780833493624775	1000.0	27499.0	89999.0
92499	0.10158243978259685	-0.00021350501748283968	0.010110048154988192	0.02829051768064283	0.03509016584350814	-0.013320885876689092	0.0011669445235282165	0.1180658567080362	1.9426409238815323	0.0006147454370977362	14.1	8.59174642255988	1000.0	27499.0	92499.0
94999	0.10071252378563313	0.00013079113122439574	0.009932735325567163	0.027403381024155713	0.03565988986128085	-0.012963847525208481	0.0009309635011246443	0.11535843517291625	1.9437705232143394	0.0004902142530423582	18.4	7.664092125447673	1000.0	27499.0	94999.0
97499	0.09886921848632788	0.0002724645457200493	0.009858798439801338	0.029096769046314544	0.04140235222920947	-0.014114001493766884	0.0007430175718152898	0.11533156367305372	1.9271795511245724	0.00039087604084052163	35.9	11.363105156854369	1000.0	27499.0	97499.0
99999	0.09963699791814007	-1.6194891278973962e-05	0.010008471910493843	0.02933250864823503	0.04125446230535093	-0.014348957368349706	0.000592221528966912	0.11231893529680473	1.9200140400886525	0.0003116706740227529	55.3	6.653523569603965	1000.0	27499.0	99999.0
